cell_id,x,y,cell_type_annotation,niche_annotation
6,18010,86813,follicular dendritic cell,T cell Zone
9,18064,86774,CD4 T cell,T cell Zone
12,18062,86727,unknown,T cell Zone
13,17967,86741,follicular dendritic cell,T cell Zone
17,17980,86718,dendritic cell,T cell Zone
24,17980,86634,CD4 T cell,T cell Zone
26,18002,86672,T-zone reticular cell,T cell Zone
31,17912,86585,macrophage,T cell Zone
32,18010,86580,T-zone reticular cell,T cell Zone
36,17804,86540,unknown,T cell Zone
37,18011,86518,T-zone reticular cell,T cell Zone
38,17916,86536,macrophage,T cell Zone
41,17754,86506,unknown,T cell Zone
43,17847,86513,unknown,T cell Zone
44,18064,86462,CD4 T cell,T cell Zone
46,17899,86482,follicular dendritic cell,T cell Zone
47,17705,86484,follicular dendritic cell,T cell Zone
48,17781,86471,T-zone reticular cell,T cell Zone
52,17801,86424,macrophage,T cell Zone
55,17648,86434,unknown,T cell Zone
56,17939,86421,T-zone reticular cell,T cell Zone
57,17712,86408,follicular dendritic cell,T cell Zone
58,17983,86419,T-zone reticular cell,T cell Zone
60,17881,86414,T-zone reticular cell,T cell Zone
61,17990,86420,follicular dendritic cell,T cell Zone
62,17527,86390,CD4 T cell,T cell Zone
63,17670,86378,unknown,T cell Zone
67,17590,86370,T-zone reticular cell,T cell Zone
70,17869,86357,T-zone reticular cell,T cell Zone
72,17500,86332,pericyte,T cell Zone
73,17763,86349,pericyte,T cell Zone
77,17838,86318,NK cell,T cell Zone
78,17932,86323,follicular dendritic cell,T cell Zone
80,17689,86316,T-zone reticular cell,T cell Zone
81,17584,86291,CD4 T cell,T cell Zone
83,17979,86318,macrophage,T cell Zone
85,17526,86257,CD4 T cell,T cell Zone
86,17772,86290,macrophage,T cell Zone
87,17623,86237,follicular dendritic cell,T cell Zone
88,17952,86252,macrophage,T cell Zone
89,17821,86253,follicular dendritic cell,T cell Zone
90,17701,86245,NK cell,T cell Zone
91,17888,86261,follicular dendritic cell,T cell Zone
94,17459,86257,unknown,T cell Zone
95,17262,86232,unknown,T cell Zone
96,17422,86216,pericyte,T cell Zone
98,17766,86237,T-zone reticular cell,T cell Zone
100,17837,86216,follicular dendritic cell,T cell Zone
102,17671,86196,T-zone reticular cell,T cell Zone
103,17905,86186,macrophage,T cell Zone
104,17262,86197,unknown,T cell Zone
106,17731,86169,follicular dendritic cell,T cell Zone
107,17563,86186,T-zone reticular cell,T cell Zone
109,17818,86152,follicular dendritic cell,T cell Zone
110,18044,86183,macrophage,T cell Zone
111,17195,86182,unknown,T cell Zone
112,18001,86142,follicular dendritic cell,T cell Zone
113,17958,86173,Memory B cell,T cell Zone
114,17510,86162,unknown,T cell Zone
116,17223,86151,unknown,T cell Zone
